,views,likes,comments,views_log,likes_log,comments_log,likes_log_win,comments_log_win,views_log_win,duration_scaled,framerate_scaled,bitrate_scaled,views_log_scaled,likes_log_scaled,comments_log_scaled,likes_log_win_scaled,comments_log_win_scaled,views_log_win_scaled,has_description,has_hashtags,cat_Comedy,cat_Education,cat_Entertainment,cat_Film & Animation,cat_Gaming,cat_Howto & Style,cat_Music,cat_News & Politics,cat_Nonprofits & Activis,cat_People & Blogs,cat_Pets & Animals,cat_Science & Technology,cat_Shows,cat_Sports,cat_Travel & Events,resolution_score_scaled,aspect_ratio,is_hd,is_full_hd,is_4k,is_short,is_medium,is_long,content_score,duration_bitrate_ratio,optimal_duration,content_completeness,is_popular_category,is_high_fps,is_cinema_fps
483,27,1,0,3.332204510175204,0.6931471805599453,0.0,0.6931471805599453,0.0,3.332204510175204,5.1647859739235145,3.4339872044851463,6.311734809152915,3.332204510175204,0.6931471805599453,0.0,0.6931471805599453,0.0,3.332204510175204,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7849850142739001,0.5633802816901409,0,0,0,0,1,0,2,0.8169887111439231,1,1.0,True,0,0
484,85,5,3,4.454347296253507,1.791759469228055,1.3862943611198906,1.791759469228055,1.3862943611198906,4.454347296253507,2.70805020110221,2.3978952727983707,5.934894195619588,4.454347296253507,1.791759469228055,1.3862943611198906,1.791759469228055,1.3862943611198906,4.454347296253507,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,1,0,0,2,0.4555253822847847,0,1.0,False,0,0
485,17080,249,12,9.74572201363806,5.521460917862246,2.5649493574615367,4.023594781085251,1.732867951399863,9.74572201363806,5.0369526024136295,3.4330189939851112,5.579729825986222,9.74572201363806,5.521460917862246,2.5649493574615367,4.023594781085251,1.732867951399863,9.74572201363806,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,2,0.9011084183348588,1,1.0,True,0,0
486,37,0,0,3.6375861597263857,0.0,0.0,0.0,0.0,3.6375861597263857,3.912023005428146,3.4011973816621555,7.164720378771857,3.6375861597263857,0.0,0.0,0.0,0.0,3.6375861597263857,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.8189195531524088,0.75,0,0,0,1,0,0,2,0.5452509364689404,0,1.0,False,0,0
487,28,0,0,3.367295829986474,0.0,0.0,0.0,0.0,3.367295829986474,3.7612001156935624,3.4330189939851112,8.04044688130311,3.367295829986474,0.0,0.0,0.0,0.0,3.367295829986474,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.8900041254883724,0.5625,1,1,0,1,0,0,2,0.4672038920508652,0,1.0,False,0,0
488,385,0,0,5.955837369464831,0.0,0.0,0.0,0.0,5.955837369464831,4.127134385045092,3.258096538021482,7.936660155225426,5.955837369464831,0.0,0.0,0.0,0.0,5.955837369464831,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.9232337050709638,0.41770833333333335,1,1,0,0,1,0,2,0.5193545847473096,0,1.0,True,0,1
489,720,2,1,6.580639137284949,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,6.580639137284949,4.59511985013459,3.258096538021482,5.802118375377063,6.580639137284949,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,6.580639137284949,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,1,0.7906101619680931,0,0.4,False,0,1
490,156,2,0,5.056245805348308,1.0986122886681098,0.0,1.0986122886681098,0.0,5.056245805348308,5.6240175061873385,3.258096538021482,5.6240175061873385,5.056245805348308,1.0986122886681098,0.0,1.0986122886681098,0.0,5.056245805348308,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7481085753494312,0.5607476635514018,0,0,0,0,1,0,1,0.9982250676379657,1,0.4,False,0,1
491,278,9,0,5.631211781821365,2.302585092994046,0.0,2.302585092994046,0.0,5.631211781821365,6.063785208687608,3.431403223719222,8.069342366811636,5.631211781821365,2.302585092994046,0.0,2.302585092994046,0.0,5.631211781821365,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,0,0.7505295522066816,1,0.0,False,0,0
492,86,0,0,4.465908118654584,0.0,0.0,0.0,0.0,4.465908118654584,5.673323267171493,3.258096538021482,6.023447592961033,4.465908118654584,0.0,0.0,0.0,0.0,4.465908118654584,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,0,1,0,1,0.9403120156028733,1,0.6,False,0,1
